scale,abs_error_all,abs_error_test
1,0.12950727642364426,0.4188200713497388
3,0.09757082008634582,0.24230910218488544
6,0.049295106024646616,0.3226973990374063
9,0.3813609342297297,0.2668149771595772
12,0.05012358139453817,0.21346435682210563
18,0.04915597886211603,0.24046019464085247
24,0.04151500382756964,0.06220085450307598
48,0.04185085582594931,0.08910308306438634
