scale,window_overlap,r_persistence,kappa_persistence,r_reported,unexplained_by_overlap
1,0.0,-0.18666518927096898,0.000170860486431094,0.6165833333333334,0.8032485226043024
3,0.0,-0.029161659773125858,0.02307465830760348,0.7586666666666666,0.7878283264397925
6,0.0,-0.012790616581345235,-0.011800233252727712,0.9170833333333334,0.9298739499146786
9,0.0,-0.16550566874750047,0.01423088658733443,0.5398333333333333,0.7053390020808338
12,0.0,-0.2792229032964165,-0.0013126304639225022,0.9130833333333334,1.1923062366297499
18,0.3333333333333333,0.20750537667414826,0.013675902580032059,0.9009999999999999,0.6934946233258517
24,0.5,0.5914464998479114,0.054430700147872275,0.9415833333333333,0.3501368334854219
48,0.75,0.7683576436867917,0.03469989446898978,0.9449166666666665,0.1765590229798748
