target_time,month,r,r2,kappa,mae,rmse,scale,input_years,protocol
2015-01-01,1,0.8648680273134272,0.7452453478525936,0.5503650538299716,0.10368636621816471,0.133029284668957,1,15,paper_like
2015-02-01,2,0.7901819694734598,0.6225043433513813,0.5573458210969124,0.11230001890764425,0.13549580447760798,1,15,paper_like
2015-03-01,3,0.9599954105830344,0.9208504342417912,0.7164429530201342,0.1097870943477592,0.14090734080178247,1,15,paper_like
2015-04-01,4,0.9423213602581717,0.887586671582427,0.7146131113925578,0.14341095789973113,0.19890939776677458,1,15,paper_like
2015-05-01,5,0.9123451796217693,0.8142143107727492,0.6184886280264124,0.13411765114356639,0.17085942252850406,1,15,paper_like
2015-06-01,6,0.8806873260892345,0.7746162735112025,0.6497622820919176,0.22687502654948583,0.3096173206552727,1,15,paper_like
2015-07-01,7,0.8139863057026081,0.6603060020588896,0.366447985004686,0.18068531228419019,0.2338611224070485,1,15,paper_like
2015-08-01,8,0.8378230745025191,0.699400116554431,0.6147315462620861,0.2368270904307214,0.2971120616212904,1,15,paper_like
2015-09-01,9,0.7870030043637539,0.5458982658664184,0.525194852274787,0.17949001967266728,0.2523014195852303,1,15,paper_like
2015-10-01,10,0.5547666878467872,-10.488038267324582,-0.07582130271683507,1.5840414845433393,1.6550931878700192,1,15,paper_like
2015-11-01,11,-0.00601329059241282,-9.750894943483907,-0.02229865970821976,1.389199731403561,1.51932640758765,1,15,paper_like
2015-12-01,12,-0.10533877931866456,-18.97267287941531,0.019728821073632052,1.678258289404716,1.7923849955049425,1,15,paper_like
2015-01-01,1,0.9550598905015973,0.9109543668619365,0.7896390255467963,0.10087332651106376,0.1270222172161424,3,15,paper_like
2015-02-01,2,0.8864582575631452,0.7839705233553368,0.6712268591151553,0.1132352834201066,0.14738722430571047,3,15,paper_like
2015-03-01,3,0.8481848227652571,0.7187151114491496,0.6449579831932772,0.10395740828740979,0.13755203902969976,3,15,paper_like
2015-04-01,4,0.9264803074155843,0.8573800755324439,0.6639268195678112,0.1062796885891619,0.127079721511773,3,15,paper_like
2015-05-01,5,0.948372594298924,0.899137563381666,0.7773092634075636,0.11605026659819712,0.14747880327517582,3,15,paper_like
2015-06-01,6,0.9418404228174043,0.885410332148443,0.6806605323693724,0.11335426257525863,0.14804799420953432,3,15,paper_like
2015-07-01,7,0.950467861990895,0.9010043839234305,0.7184647164656494,0.12695524799543872,0.16358509697839288,3,15,paper_like
2015-08-01,8,0.945821149650007,0.8915933383428074,0.7431900045024764,0.1695940116770048,0.22598079262404303,3,15,paper_like
2015-09-01,9,0.8878891904191346,0.5209757980278651,0.5176547337519367,0.2048517142675352,0.27041635992161095,3,15,paper_like
2015-10-01,10,0.11593452006175903,-1.4708958029153258,-0.0011392116655273288,0.6714962497136026,0.8423725777673337,3,15,paper_like
2015-11-01,11,0.4530458671237179,-1.239504319935964,-0.009621993127147954,0.7857576959271282,0.8792119706144388,3,15,paper_like
2015-12-01,12,-0.1667274096659022,-7.819387278492503,0.03028371055148249,1.0990024153049969,1.257729214721209,3,15,paper_like
2015-01-01,1,0.9677735579711031,0.9360981733493634,0.85580204778157,0.06369390086364476,0.08043434560337202,6,15,paper_like
2015-02-01,2,0.9756179533234579,0.9513513568207256,0.8426280393171237,0.06020983696971756,0.07926370509091635,6,15,paper_like
2015-03-01,3,0.9810147184283381,0.961242253443,0.9152032112393377,0.06318593369727153,0.08050984767262492,6,15,paper_like
2015-04-01,4,0.9762855002637291,0.9513656303386325,0.8794101324030762,0.07233951639984926,0.0934143537386475,6,15,paper_like
2015-05-01,5,0.9679705354230872,0.9362998084688806,0.7910405174053643,0.08138429542470212,0.10119463295428831,6,15,paper_like
2015-06-01,6,0.9290310314302274,0.8609070045630367,0.682468564821506,0.09966055337795617,0.1260705474151803,6,15,paper_like
2015-07-01,7,0.9763013236513028,0.9527931028877143,0.7927817464548459,0.07729210415589298,0.09736146273287044,6,15,paper_like
2015-08-01,8,0.9638020591313134,0.9286900027751837,0.7584235246069022,0.10609604121135151,0.12938876088638862,6,15,paper_like
2015-09-01,9,0.8344848030587515,0.5280146458540138,0.42491492824382304,0.2488652951487754,0.33926549577865417,6,15,paper_like
2015-10-01,10,0.4778711298659781,-0.6611003720609461,-0.06575644400906167,0.6898569898681882,0.83623759998607,6,15,paper_like
2015-11-01,11,0.19755957017924822,-9.594406818346803,0.006284223292051139,1.7705170190085533,1.8609800119814806,6,15,paper_like
2015-12-01,12,-0.40266619870752274,-10.633117982641876,0.007692593556059224,1.646688052150242,1.7981349642802924,6,15,paper_like
2015-01-01,1,0.9767157076992203,0.9535041394713651,0.8330420244699446,0.05279021001595591,0.06933509112857193,9,15,paper_like
2015-02-01,2,0.9791329544579082,0.9584863438488422,0.7883973288814692,0.05496530168856632,0.07300385683972202,9,15,paper_like
2015-03-01,3,0.9838624681097234,0.9674747080253585,0.8550848910992969,0.0580875875365971,0.07189488050520942,9,15,paper_like
2015-04-01,4,0.983518476721569,0.9580162984286285,0.8675103595027438,0.05479985952561109,0.06945503986023885,9,15,paper_like
2015-05-01,5,0.9885780788788215,0.9704125214301537,0.9162951956414067,0.05824788185562946,0.07153540481508987,9,15,paper_like
2015-06-01,6,0.9876707144665422,0.973360980336682,0.9264257727470614,0.05842636376174557,0.07525983132803411,9,15,paper_like
2015-07-01,7,0.9860708094326404,0.9705356654461162,0.9174343941931882,0.0693309167009008,0.08818868198060903,9,15,paper_like
