scale,input_years,validation_rmse,test_rmse
1,15,1.272205602140725,1.7308535041599784
3,15,0.6865222634448586,1.1243527773518158
6,15,0.7642248361210635,1.8912492065189994
9,15,0.8086663707602642,1.878360068068996
12,15,0.2920148192556153,1.2152214233512393
18,15,0.2569118303631538,0.5782076305574679
24,15,0.14481098743775184,0.7209900499567232
48,15,0.03212679057844589,0.16645077686546592
