scale,mae_r_artigo_vs_todos,mae_r_artigo_vs_teste,mais_proximo_de_todos
1,0.1295072764236442,0.4188200713497388,True
3,0.09757082008634578,0.2423091021848854,True
6,0.049295106024646575,0.3226973990374063,True
9,0.3813609342297297,0.2668149771595772,False
12,0.050123581394538125,0.2134643568221056,True
18,0.04915597886211598,0.24046019464085244,True
24,0.04151500382756959,0.06220085450307594,True
48,0.04185085582594925,0.0891030830643863,True
