scale,selected_model,selected_rmse,selected_mae,cnn_rmse,cnn_mae,cnn_r,cnn_r2,cnn_kappa,best_persistence,persistence_rmse,persistence_mae,persistence_r,cnn_vs_selected_rmse_pct,cnn_vs_best_persistence_rmse_pct
1,mlp_11,1.154862094997622,1.0325829279358614,1.1743739913101232,1.0222391551678094,0.06670913147884056,-7.2658076077265425,-0.0028395832476443904,seasonal_persistence,1.4632114898312814,1.306860164520394,-0.044727624653615745,-1.6895434006379213,19.73996927501322
3,mlp_11,1.1740177179210365,1.0383175381123573,1.0383344563130243,0.9407931717351227,0.4655363908834483,-3.5798886166821338,0.023062582166544044,persistence_last,1.3529470770191756,1.2345055437507524,0.4307952009494187,11.557173246778724,23.253874896519118
6,ridge,1.115232293298849,0.9882436432986683,1.0349849001044262,0.8950291619760913,0.2405562971242057,-2.240756096748289,-0.0031061284516241,persistence_last,1.0702709533366235,0.9861387344736651,0.6800213203623171,7.195576533840457,3.29692711197956
9,mlp_11,1.3057643455467478,1.1615696392446435,1.1986445596642679,1.01316523782329,0.061262107643347,-2.9556928221670256,-0.01758641180983118,persistence_last,0.832704876115734,0.7314288809546997,0.7490314327964555,8.203607813906643,-43.945903770314125
12,mlp_11,1.193141766124248,1.0252889831190573,1.3483675095992498,1.0739113853685938,0.35608531459596987,-2.232344968582202,0.09562971442887748,seasonal_persistence,1.74659403755353,1.5281473988179586,-0.10786511392761829,-13.009832350369441,22.80017676643851
18,mlp_11,1.608970874698428,1.4451333294067972,1.173621593198425,0.987456397091735,0.3722729852485893,-1.0958316062213969,0.06841337145212341,seasonal_persistence,1.2347376487094062,1.023574425968291,0.25090091181224494,27.057623499965533,4.949719932397127
24,mlp_11,1.7443774551313345,1.4859301184855254,0.9528328403689992,0.8073963955196531,0.622773413121447,-0.44171699277612825,0.15690188398188942,seasonal_persistence,0.8487103403040005,0.6693441597671265,0.621453982666174,45.37691154135788,-12.268319957985067
48,mlp_11,1.7591714485447938,1.5629745796742782,1.0162691708727873,0.8323078962009466,0.7452068098442904,-0.2161016143611194,0.19573843065545002,persistence_last,1.0735843754994467,0.9079812692591828,0.7767342360994162,42.23023732488061,5.338677232517989
