target_time,month,r,r2,kappa,mae,rmse,scale,model,protocol,validation_loss,epochs_trained
2015-01-01,1,0.35250468491457526,-13.646404634132569,-0.00790400229934618,1.6887545607059986,1.7732708604664773,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-02-01,2,0.02075979381856764,-41.188286300840716,-0.01179679750602225,1.6529318198287815,1.717689658648342,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-03-01,3,0.15333125202734796,-1.8195411882410895,0.08471580867681439,0.7417143526117325,0.9216798223359327,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-04-01,4,-0.2219099892384017,-0.9976169868508906,-0.12066187407040152,0.6591331668863625,0.8678988570187556,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-05-01,5,0.16961694234859304,-10.660569316557764,0.0012612158120427486,1.5748439316035834,1.6690022850052997,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-06-01,6,0.10037855598736777,-0.4053340593253627,0.06272709887167716,0.7140135990716098,0.8560042074828813,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-07-01,7,-0.15102584593407734,-1.1266721584803152,-0.17293233082706738,0.6435156555045692,0.8889348105928084,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-08-01,8,-0.03098364942516037,-0.6453418369535728,0.023703174319575804,0.7475679580003144,1.0058537144591204,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-09-01,9,0.02744017530145983,-3.262245426573662,0.04791887592788968,0.7000755515737784,0.8224913925442909,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-10-01,10,0.2330899563653757,-3.4672277912830243,0.03256381381381379,0.9239071321538102,1.0874234413257322,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-11-01,11,0.04458145467710875,-2.7782997455533756,0.04397658517388947,0.8601746867001625,0.9988156978481261,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-12-01,12,0.10272624690333032,-7.192151847926166,-0.0176465668645982,1.3602374473730112,1.4834231479937108,1,spatial_residual_cnn,causal_pdi_recursive,2.192824363708496,39
2015-01-01,1,0.9242506434082943,-2.52100405688946,-0.1021311284499824,1.3656636155875583,1.4043074883977509,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-02-01,2,0.6709531410553748,-3.0043330086744753,0.0008630734043930666,0.757015399872174,0.82584288241392,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-03-01,3,0.7191776565486517,-0.49384784077027843,0.19952634695085847,0.37223439804422725,0.43185072243249883,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-04-01,4,0.4474699255205542,-13.273576040104171,-0.011435289088382872,1.4563316724318829,1.5042338439798992,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-05-01,5,0.34481309531379667,-5.326943360318845,-0.015588010343446035,1.2258899594205435,1.3253294602396948,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-06-01,6,0.25912403129100375,-4.735336411725512,-0.01217411727863471,1.0256362696808736,1.129487448978615,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-07-01,7,0.21877912718770817,-4.064333434250027,-0.028438469493278218,1.248753872618886,1.383734343244568,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-08-01,8,0.045540983015347945,-0.4464254085391577,0.10021629416005762,0.7038072827428171,0.9330437089333704,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-09-01,9,0.32719615990588247,-0.4840397729128647,0.16038620172478446,0.3806443060848647,0.49500408310590704,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-10-01,10,0.5668976376001938,0.04599778755157624,0.05765693262819038,0.4268661422872619,0.5498735196070746,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-11-01,11,0.501409991285012,-0.7020308756056024,-0.03098673380459016,0.7276928961011438,0.8133374761613129,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-12-01,12,0.5608242984695601,-7.9527909779467905,-0.04114411441144106,1.5989822459492387,1.663968498261679,3,spatial_residual_cnn,causal_pdi_recursive,1.2244253158569336,36
2015-01-01,1,0.8839114912994662,-7.437802110245693,-0.03403207704282951,1.6417624111198508,1.6695869797322263,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-02-01,2,0.841202181919928,-1.3769959987950195,0.0012885452768152117,0.8511847128915166,0.9408944100732543,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-03-01,3,0.590900431122578,-0.5331183961925634,0.015872197887142447,0.7563545559382441,0.9047109200513602,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-04-01,4,0.44194858335759213,-1.0381463215728202,-0.03284308854218421,0.9079421750024594,1.0588989920946548,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-05-01,5,0.14312090977034986,-3.2467026371675693,0.030364551151911057,0.985510501970967,1.1268164528877074,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-06-01,6,0.04210818463139553,-0.8455769218388087,0.03332504352151189,0.5067289967785198,0.5875156451378846,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-07-01,7,-0.07558479901413495,-3.3115561572441443,-0.03661107916427064,0.9666831569139842,1.1809360481161084,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
